station_id,name,start_utc,end_utc_exclusive,cadence_seconds,expected_positions,accepted_rows,exact_grid_rows,off_grid_rows,source_blank_rows,absent_expected_positions,strict_unavailable_positions,sample_density_unavailable_positions,strict_coverage_percent,sample_density_coverage_percent,longest_observed_gap_seconds,first_observed_utc,last_observed_utc
1617760,Hilo,2011-03-11T00:00:00Z,2011-03-14T00:00:00Z,60,4320,4320,4320,0,29,0,29,29,99.3287,99.3287,60,2011-03-11T00:00:00Z,2011-03-13T23:59:00Z
1770000,Pago Pago,2011-03-11T00:00:00Z,2011-03-14T00:00:00Z,60,4320,3937,3937,0,936,383,1319,1319,69.4676,69.4676,60,2011-03-11T00:00:00Z,2011-03-13T17:36:00Z
9419750,Crescent City,2011-03-11T00:00:00Z,2011-03-14T00:00:00Z,60,4320,4320,4320,0,60,0,60,60,98.6111,98.6111,60,2011-03-11T00:00:00Z,2011-03-13T23:59:00Z
9461380,Adak,2011-03-11T00:00:00Z,2011-03-14T00:00:00Z,60,4320,4320,4320,0,24,0,24,24,99.4444,99.4444,60,2011-03-11T00:00:00Z,2011-03-13T23:59:00Z
saip,Saipan,2011-03-11T00:00:00Z,2011-03-12T00:00:00Z,60,1440,764,644,120,0,796,796,676,44.7222,53.0556,39660,2011-03-11T00:00:00Z,2011-03-11T23:59:00Z
valp,Valparaíso,2011-03-11T00:00:00Z,2011-03-14T00:00:00Z,60,4320,4272,4272,0,0,48,48,48,98.8889,98.8889,1560,2011-03-11T00:01:00Z,2011-03-13T23:55:00Z
